_id,quote_text,quote_origin
1,MT Classic is better than it's ever been.,Twizz-rulah
2,"Rocket science, at its finest.",Dad
3,"If you spend nine minutes of your time to save a dollar, you''re working for less than minimum wage.",xkcd #951
4,"If at first you don''t succeed, that''s one data point.",xkcd #1154
5,"It is awfully easy to be hard-boiled about everything in the daytime, but at night it is another thing.","Ernest Hemingway, The Sun Also Rises"
6,"When I saw her face amid the flames, I felt a spark. Not your customary running-for-your-life thrill, mind, but a real thundaga-to-the-heart epiphany!","Ringabel, Bravely Default"
7,"Do you think Pokemon battling can ever be worthy of being called an art? You see, cooking is the type of art that disappears as soon as it is completed. Pokemon battles are the same. Even memories of sweet victory soon fade after the battle ends. To devote yourself entirely to such a life, made up of fleeting experiences--that is truly artful.","Siebold, Pokemon XY"
8,All warfare is based on deception.,"Makarov, MW3"
9,I know it's selfish...but this is MY story!,"Tidus, Final Fantasy X"
10,You'll cry. You're gonna cry. You always cry. See? You're cryin'.,"Jecht, Final Fantasy X"
11,Gimme a break!,"Wakka, Final Fantasy X"
12,"We''re just particles of dust, brushed from the palm of a God. That''s all we ever were.","Lumina, Lightning Returns: Final Fantasy XIII"
13,You're like the Omega Weapon of Innkeepers!,"Edea, Bravely Default"
14,"A long, long time ago in a galaxy far, far away, interest rates were relatively stable.",Prof. James Trimble
15,INDEPENDENCE. This is very important; that's why I'm writing it in big letters.,Prof. Evarist Gine
16,We're doing things with calculus. We should be able to do things instantaneously.,Prof. Reed Solomon
17,Prestige don't pay my bills.,Grandma
18,You should enjoy the little detours. To the fullest. Because that’s where you’ll find the things more important than what you want.,"Ging, Hunter x Hunter"
19,Try not to die until you're dead.,"Gyro, Hunter x Hunter"
20,"Human life is too long to devote to reproduction, yet too short to devote to learning, in the helix of time.
Perhaps that is why humans succumb to desire and seek release.","Ming Jol-ik, Hunter x Hunter"
