game_id,seed1,team1,team1sim,seed2,team2,team2sim,advance_to
1,West16a,Fairleigh Dickinson,82.0,West16b,Prairie View A&M,76.0,21
2,East16a,North Dakota St.,78.0,East16b,North Carolina Central,74.0,29
3,East11a,Belmont,81.0,East11b,Temple,70.0,33
4,West11a,St. John's,65.0,West11b,Arizona St.,74.0,25
5,South1,Virginia,71.0,South16,Gardner Webb,56.0,37
6,South8,Mississippi,72.0,South9,Oklahoma,95.0,37
7,South5,Wisconsin,54.0,South12,Oregon,72.0,38
8,South4,Kansas St.,64.0,South13,UC Irvine,70.0,38
9,South6,Villanova,61.0,South11,Saint Mary's,57.0,39
10,South3,Purdue,61.0,South14,Old Dominion,48.0,39
11,South7,Cincinnati,72.0,South10,Iowa,79.0,40
12,South2,Tennessee,77.0,South15,Colgate,70.0,40
13,Midwest1,North Carolina,88.0,Midwest16,Iona,73.0,41
14,Midwest8,Utah St.,61.0,Midwest9,Washington,78.0,41
15,Midwest5,Auburn,78.0,Midwest12,New Mexico St.,77.0,42
16,Midwest4,Kansas,87.0,Midwest13,Northeastern,53.0,42
17,Midwest6,Iowa St.,59.0,Midwest11,Ohio St.,62.0,43
18,Midwest3,Houston,84.0,Midwest14,Georgia St.,55.0,43
19,Midwest7,Wofford,84.0,Midwest10,Seton Hall,68.0,44
20,Midwest2,Kentucky,79.0,Midwest15,Abilene Christian,44.0,44
21,West1,Gonzaga,87.0,West16a,Fairleigh Dickinson,49.0,49
22,West8,Syracuse,69.0,West9,Baylor,78.0,49
23,West5,Marquette,64.0,West12,Murray St.,83.0,50
24,West4,Florida St.,76.0,West13,Vermont,69.0,50
25,West6,Buffalo,91.0,West11b,Arizona St.,74.0,51
26,West3,Texas Tech,72.0,West14,Northern Kentucky,57.0,51
27,West7,Nevada,61.0,West10,Florida,70.0,52
28,West2,Michigan,74.0,West15,Montana,55.0,52
29,East1,Duke,85.0,East16a,North Dakota St.,62.0,45
30,East8,VCU,58.0,East9,UCF,73.0,45
31,East5,Mississippi St.,76.0,East12,Liberty,80.0,46
32,East4,Virginia Tech,66.0,East13,Saint Louis,52.0,46
33,East6,Maryland,79.0,East11a,Belmont,77.0,47
34,East3,LSU,79.0,East14,Yale,74.0,47
35,East7,Louisville,76.0,East10,Minnesota,86.0,48
36,East2,Michigan St.,76.0,East15,Bradley,65.0,48
37,South1,Virginia,63.0,South9,Oklahoma,51.0,53
38,South12,Oregon,73.0,South13,UC Irvine,54.0,53
39,South6,Villanova,61.0,South3,Purdue,87.0,54
40,South10,Iowa,77.0,South2,Tennessee,83.0,54
41,Midwest1,North Carolina,81.0,Midwest9,Washington,59.0,55
42,Midwest5,Auburn,89.0,Midwest4,Kansas,75.0,55
43,Midwest11,Ohio St.,59.0,Midwest3,Houston,74.0,56
44,Midwest7,Wofford,56.0,Midwest2,Kentucky,62.0,56
45,East1,Duke,77.0,East9,UCF,76.0,57
46,East12,Liberty,58.0,East4,Virginia Tech,67.0,57
47,East6,Maryland,67.0,East3,LSU,69.0,58
48,East10,Minnesota,50.0,East2,Michigan St.,70.0,58
49,West1,Gonzaga,83.0,West9,Baylor,71.0,59
50,West12,Murray St.,62.0,West4,Florida St.,90.0,59
51,West6,Buffalo,58.0,West3,Texas Tech,78.0,60
52,West10,Florida,49.0,West2,Michigan,64.0,60
53,South1,Virginia,9.988440289490734,South12,Oregon,9.226309993694443,61
54,South3,Purdue,9.99186333817074,South2,Tennessee,9.957624882663483,61
55,Midwest1,North Carolina,9.972966499171726,Midwest5,Auburn,9.941137429751423,62
56,Midwest3,Houston,9.4901798034556,Midwest2,Kentucky,9.940214482588736,62
57,East1,Duke,9.99587151910448,East4,Virginia Tech,9.824253545632018,63
58,East3,LSU,9.996688083818182,East2,Michigan St.,9.980112244902008,63
59,West1,Gonzaga,9.884714048140188,West4,Florida St.,9.918461365342758,64
60,West3,Texas Tech,9.894328434039151,West2,Michigan,9.998348608278745,64
61,South1,Virginia,9.986998979512494,South3,Purdue,9.945296251280503,65
62,Midwest1,North Carolina,9.964942878115679,Midwest2,Kentucky,9.961249567549265,65
63,East1,Duke,9.994421162615481,East3,LSU,9.754412547615093,66
64,West4,Florida St.,9.845270725220796,West2,Michigan,9.99105901888535,66
65,South1,Virginia,9.995923952207772,Midwest1,North Carolina,9.973241450732855,67
66,East1,Duke,9.987498719516571,West2,Michigan,9.966703206687532,67
67,South1,Virginia,9.998906625183967,East1,Duke,9.999764163063999,68
68,East1,Duke,,,,,69
